,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
0,2023-08-06,12:00,Championship,Matchweek 1,Sun,Home,W,2.0,1.0,Coventry City,1.5,1.8,65.0,31763.0,Jamie Vardy,4-3-3,Darren Bond,Match Report,,20,7,17.0,1.0,0,0,2023,Leicester City
2,2023-08-12,15:00,Championship,Matchweek 2,Sat,Away,W,1.0,0.0,Huddersfield,1.4,1.2,69.0,19541.0,Ricardo Pereira,4-3-3,David Webb,Match Report,,17,6,20.0,0.0,0,0,2023,Leicester City
3,2023-08-19,15:00,Championship,Matchweek 3,Sat,Home,W,2.0,1.0,Cardiff City,0.7,1.1,65.0,31595.0,Ricardo Pereira,4-3-3,Graham Scott,Match Report,,15,6,18.9,0.0,0,0,2023,Leicester City
4,2023-08-26,15:00,Championship,Matchweek 4,Sat,Away,W,2.0,1.0,Rotherham Utd,1.4,0.6,63.0,11418.0,Ricardo Pereira,4-3-3,Simon Hooper,Match Report,,15,7,16.5,0.0,0,0,2023,Leicester City
6,2023-09-02,15:00,Championship,Matchweek 5,Sat,Home,L,0.0,1.0,Hull City,1.2,0.3,64.0,31318.0,Ricardo Pereira,3-4-3,John Busby,Match Report,,21,1,20.0,1.0,0,0,2023,Leicester City
7,2023-09-15,20:00,Championship,Matchweek 6,Fri,Away,W,4.0,1.0,Southampton,4.1,1.6,45.0,28877.0,Jamie Vardy,4-3-3,Robert Madley,Match Report,,15,8,15.1,0.0,0,0,2023,Leicester City
8,2023-09-20,20:00,Championship,Matchweek 7,Wed,Away,W,2.0,0.0,Norwich City,2.3,0.9,57.0,26277.0,Hamza Choudhury,4-3-3,Graham Scott,Match Report,,9,2,14.5,0.0,1,1,2023,Leicester City
9,2023-09-23,15:00,Championship,Matchweek 8,Sat,Home,W,1.0,0.0,Bristol City,2.3,0.3,69.0,31674.0,Jamie Vardy,4-3-3,James Bell,Match Report,,18,6,15.1,1.0,1,1,2023,Leicester City
11,2023-10-01,12:00,Championship,Matchweek 9,Sun,Away,W,4.0,1.0,Blackburn,1.8,1.4,52.0,15937.0,Jamie Vardy,4-3-3,James Linington,Match Report,,10,3,15.7,0.0,1,1,2023,Leicester City
12,2023-10-04,19:45,Championship,Matchweek 10,Wed,Home,W,3.0,0.0,Preston,1.5,0.4,75.0,30380.0,Jamie Vardy,4-3-3,Thomas Bramall,Match Report,,9,4,14.8,0.0,0,0,2023,Leicester City
13,2023-10-07,15:00,Championship,Matchweek 11,Sat,Home,W,2.0,0.0,Stoke City,2.4,0.2,73.0,31589.0,Ricardo Pereira,4-3-3,Geoff Eltringham,Match Report,,14,6,14.1,0.0,0,0,2023,Leicester City
0,2023-08-06,17:00,Championship,Matchweek 1,Sun,Away,W,2,1,Sunderland,1.2,1.9,34.0,44407.0,Sam Morsy,4-2-3-1,Samuel Barrott,Match Report,,13,4,19.5,1.0,0,0,2023,Ipswich Town
2,2023-08-12,15:00,Championship,Matchweek 2,Sat,Home,W,2,0,Stoke City,2.0,0.6,44.0,29006.0,Sam Morsy,4-2-3-1,Joshua Smith,Match Report,,22,10,19.0,0.0,0,0,2023,Ipswich Town
3,2023-08-19,15:00,Championship,Matchweek 3,Sat,Away,W,1,0,QPR,1.3,0.9,61.0,16790.0,Sam Morsy,4-2-3-1,Geoff Eltringham,Match Report,,17,3,18.4,0.0,0,0,2023,Ipswich Town
4,2023-08-26,15:00,Championship,Matchweek 4,Sat,Home,L,3,4,Leeds United,2.4,1.6,58.0,29606.0,Sam Morsy,4-2-3-1,Robert Madley,Match Report,,23,7,14.6,0.0,0,0,2023,Ipswich Town
6,2023-09-02,15:00,Championship,Matchweek 5,Sat,Home,W,3,2,Cardiff City,2.7,2.1,56.0,28011.0,Sam Morsy,4-2-3-1,Gavin Ward,Match Report,,18,7,16.8,1.0,0,0,2023,Ipswich Town
7,2023-09-16,15:00,Championship,Matchweek 6,Sat,Away,W,1,0,Sheffield Weds,1.8,0.5,52.0,25938.0,Sam Morsy,4-2-3-1,James Linington,Match Report,,13,6,19.2,1.0,0,0,2023,Ipswich Town
8,2023-09-19,19:45,Championship,Matchweek 7,Tue,Away,W,1,0,Southampton,0.7,0.8,42.0,27265.0,Sam Morsy,4-2-3-1,Joshua Smith,Match Report,,11,3,20.9,0.0,0,0,2023,Ipswich Town
9,2023-09-23,15:00,Championship,Matchweek 8,Sat,Home,W,4,3,Blackburn,2.9,0.9,40.0,28792.0,Sam Morsy,4-2-3-1,Keith Stroud,Match Report,,29,11,16.2,1.0,0,0,2023,Ipswich Town
11,2023-09-30,15:00,Championship,Matchweek 9,Sat,Away,D,1,1,Huddersfield,1.3,1.2,60.0,20000.0,Lee Evans,4-2-3-1,Geoff Eltringham,Match Report,,21,6,16.4,0.0,0,0,2023,Ipswich Town
12,2023-10-03,19:45,Championship,Matchweek 10,Tue,Home,W,3,0,Hull City,1.2,0.9,50.0,27070.0,Sam Morsy,4-2-3-1,Matt Donohue,Match Report,,14,6,15.9,0.0,0,0,2023,Ipswich Town
